,face_uuid,account_name,Ground Truth,filename,match_file,match_score,model,distance_metric,number_of_hits,Model
604,7d1d35a6-365e-49da-a325-e32cc1f5a474,christianlindner,Christian Lindner,christianlindner_20-09-2021_00:00_image1.jpeg,2384c946-7f3b-4280-8257-c73c1bb814b1.png,0.8778984819023887,Facenet512,euclidean_l2,7.0,Christian Lindner
607,ba848686-43cc-4ab8-8ec9-1e84c74f9729,christlichsozialeunion,Unknown,christlichsozialeunion_24-09-2021_00:00_image7.jpeg,,,,,,Unknown
608,360b0e15-c2e3-4a6a-a25c-207c8243a062,christlichsozialeunion,Unknown,christlichsozialeunion_24-09-2021_00:00_image7.jpeg,,,,,,Unknown
609,eb13adbe-bbd9-48d0-9340-eab59a8e2599,christlichsozialeunion,Unknown,christlichsozialeunion_24-09-2021_00:00_image7.jpeg,,,,,,Unknown
610,8c427927-b812-40b6-8dbf-fbb5d0144b3d,christlichsozialeunion,Unknown,christlichsozialeunion_24-09-2021_00:00_image7.jpeg,,,,,,Unknown
611,1f3dffa8-66cf-43b3-ac09-a33a5e46d500,olafscholz,Olaf Scholz,olafscholz_23-09-2021_00:00_image4.jpeg,82f4d29e-1d17-4672-b015-52009fda2a23.png,0.9945455768492,Facenet512,euclidean_l2,1.0,Olaf Scholz
615,f28a0730-3c28-463f-bb29-95cba081d700,die_gruenen,Unknown,die_gruenen_17-09-2021_00:00_video8.jpeg,,,,,,Unknown
621,64e178b0-f53a-43e0-be07-cc0298d9955c,christlichsozialeunion,Markus Söder,christlichsozialeunion_18-09-2021_00:00_image1.jpeg,d58b66d8-f621-4c58-9284-a999f266986a.png,0.2930498913089688,Facenet512,euclidean_l2,13.0,Markus Söder
622,5490b703-5e20-43b1-8a1b-4123f4df6277,christlichsozialeunion,Unknown,christlichsozialeunion_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
623,311d0881-ff36-4362-bda5-17c4ab62a99a,christlichsozialeunion,Unknown,christlichsozialeunion_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
631,89f5db90-0a58-4ff2-a123-fc0a6f02f9af,cdu,Unknown,cdu_22-09-2021_00:00_video4.jpeg,,,,,,Unknown
632,93458ce0-85d5-441f-ae94-56877b668f4f,cdu,Unknown,cdu_22-09-2021_00:00_video4.jpeg,,,,,,Unknown
633,7c9162f3-74dc-488d-9fb1-ef062b02345c,cdu,Unknown,cdu_22-09-2021_00:00_video4.jpeg,,,,,,Unknown
634,7de4a2b2-63c7-405d-b6a7-15236fbdd4c0,cdu,Unknown,cdu_22-09-2021_00:00_video4.jpeg,,,,,,Unknown
635,18693f21-3a54-47e6-a335-ae6960706ea1,cdu,Unknown,cdu_22-09-2021_00:00_video4.jpeg,,,,,,Unknown
636,96ffae49-7e19-49e9-a870-6b3923d72f14,cdu,Unknown,cdu_22-09-2021_00:00_video4.jpeg,,,,,,Unknown
647,62e7f7bb-359c-4921-96da-45a127066246,spdde,Olaf Scholz,spdde_20-09-2021_00:00_image0.jpeg,b4140b08-8bd8-4631-a580-a48195a9970a.png,0.2938897198541945,Facenet512,euclidean_l2,20.0,Olaf Scholz
650,5036e4c2-72f7-478e-be0f-16ba6d47be39,abaerbock,Unknown,abaerbock_23-09-2021_00:00_image11.jpeg,,,,,,Unknown
651,66288329-f19b-474f-9e5b-8e6f97877b8b,abaerbock,Unknown,abaerbock_23-09-2021_00:00_image11.jpeg,,,,,,Unknown
652,44b5039c-c959-43f8-a08f-b06bdb7dcde6,cdu,Unknown,cdu_20-09-2021_00:00_video18.jpeg,,,,,,Unknown
653,d8535765-81aa-450c-ace2-940475581d34,cdu,Unknown,cdu_20-09-2021_00:00_video18.jpeg,,,,,,Unknown
654,c9774be6-c3e7-4213-a64f-6e85caf0c850,cdu,Unknown,cdu_20-09-2021_00:00_video17.jpeg,,,,,,Unknown
655,243af758-6978-4b9d-aa97-112d86d324ef,cdu,Unknown,cdu_20-09-2021_00:00_video17.jpeg,,,,,,Unknown
656,35dca481-ac3d-4404-858c-b15b30cca503,spdde,Unknown,spdde_13-09-2021_00:00_video2.jpeg,,,,,,Unknown
665,14954370-e8b8-42fd-be2d-b333b0fbf446,abaerbock,Annalena Baerbock,abaerbock_25-09-2021_00:00_image11.jpeg,9a8aa257-6928-4d20-bb76-b003078f551d.png,0.9387802791350964,Facenet512,euclidean_l2,6.0,Annalena Baerbock
666,fa49bf84-e203-4aef-8a76-b5598a4ee7e0,abaerbock,Unknown,abaerbock_25-09-2021_00:00_image11.jpeg,,,,,,Unknown
667,da9379e1-0b90-4ca4-b97b-88fbafe0fded,abaerbock,Unknown,abaerbock_25-09-2021_00:00_image11.jpeg,,,,,,Unknown
668,584e1071-b23c-4ee2-87a8-0552f34e2614,abaerbock,Unknown,abaerbock_25-09-2021_00:00_image11.jpeg,,,,,,Unknown
669,c1b04bae-02a6-4a79-bcfb-1e1e65ada2d6,abaerbock,Unknown,abaerbock_25-09-2021_00:00_image11.jpeg,,,,,,Unknown
670,fe817e12-13df-4f89-bc52-eb3c40cf4ac3,abaerbock,Unknown,abaerbock_25-09-2021_00:00_image11.jpeg,,,,,,Unknown
671,9473111e-a4de-4d51-a1d2-b2b6fb9d7598,abaerbock,Unknown,abaerbock_25-09-2021_00:00_image11.jpeg,,,,,,Unknown
672,ac3098db-9e09-4b42-916b-0a7ba4fbe054,abaerbock,Unknown,abaerbock_25-09-2021_00:00_image11.jpeg,,,,,,Unknown
699,f3f55383-c263-4a9f-b9d7-733abc110a59,christianlindner,Unknown,christianlindner_20-09-2021_00:00_image5.jpeg,,,,,,Unknown
700,d5dac8d2-b7e0-4d6e-b406-6417b06ace21,christianlindner,Christian Lindner,christianlindner_20-09-2021_00:00_image5.jpeg,aba5bb44-8485-4f0d-9b60-c596194fa33b.png,0.6660642224195101,Facenet512,euclidean_l2,10.0,Christian Lindner
701,3a7ee054-0cd3-4546-b86a-ff65dcbdd77b,christianlindner,Unknown,christianlindner_20-09-2021_00:00_image5.jpeg,b2b81709-caad-45cc-b632-78901d5ab389.png,1.0094304466492214,Facenet512,euclidean_l2,1.0,Christian Lindner
702,69f73424-24cb-4476-beaa-3ddbd8793ed3,christianlindner,Unknown,christianlindner_20-09-2021_00:00_image5.jpeg,,,,,,Unknown
703,ee08cb2e-a678-432a-8053-4c2fb63db0da,christianlindner,Unknown,christianlindner_20-09-2021_00:00_image5.jpeg,,,,,,Unknown
704,f2e33a9f-bf44-4a97-a81f-9f85dcd9c0f8,christianlindner,Unknown,christianlindner_20-09-2021_00:00_image5.jpeg,,,,,,Unknown
705,70ae5d78-1785-40b8-a2e0-124470a88865,armin_laschet,Armin Laschet,armin_laschet_22-09-2021_00:00_video10.jpeg,,,,,,Unknown
706,98cb15fe-5dde-4e38-a250-a20443d4576f,armin_laschet,Unknown,armin_laschet_22-09-2021_00:00_video10.jpeg,,,,,,Unknown
710,f9654685-ccb7-4fc5-a9b2-eefdf180f35d,abaerbock,Unknown,abaerbock_21-09-2021_00:00_image6.jpeg,,,,,,Unknown
711,a7a99983-208b-4055-87e7-31154bd905d0,abaerbock,Unknown,abaerbock_21-09-2021_00:00_image6.jpeg,,,,,,Unknown
712,d4a55aa0-1608-495c-a179-782dd05ab690,abaerbock,Annalena Baerbock,abaerbock_21-09-2021_00:00_image6.jpeg,,,,,,Unknown
713,a80fc7d9-f013-42a4-a5dd-888843920afa,armin_laschet,Armin Laschet,armin_laschet_24-09-2021_00:00_video10.jpeg,d0e6d963-6d02-463b-a226-ce3f34b0fcc5.png,0.7462797673029471,Facenet512,euclidean_l2,20.0,Armin Laschet
714,f3609855-3b98-4a5c-9625-9d8a3de06f9f,christlichsozialeunion,Unknown,christlichsozialeunion_13-09-2021_00:00_image1.jpeg,,,,,,Unknown
715,e1492008-c440-43fb-92c8-3f38fc9d72f3,christlichsozialeunion,Unknown,christlichsozialeunion_13-09-2021_00:00_image1.jpeg,,,,,,Unknown
719,c43c13e4-aeb9-4fb2-9b0b-60fa36b53dcb,cdu,Unknown,cdu_20-09-2021_00:00_video28.jpeg,,,,,,Unknown
720,765627f7-071a-4cf2-9c3f-34eb24ba0288,cdu,Unknown,cdu_20-09-2021_00:00_video28.jpeg,c0c7aedd-97dc-4394-8336-f812c19fc1a2.png,0.9709702591213796,Facenet512,euclidean_l2,2.0,Armin Laschet
721,2d901e92-fbe1-444f-bdf9-978d55d0cfd6,cdu,Unknown,cdu_20-09-2021_00:00_video28.jpeg,,,,,,Unknown
722,b22deca4-7071-40c2-b975-54e0e0261cca,cdu,Unknown,cdu_20-09-2021_00:00_video28.jpeg,,,,,,Unknown
723,89cd444d-f4ca-44b5-8699-059b8f063799,cdu,Unknown,cdu_20-09-2021_00:00_video28.jpeg,,,,,,Unknown
724,bf9196d4-e7a6-454c-ac39-fbc18d2071a8,cdu,Unknown,cdu_13-09-2021_00:00_video3.jpeg,,,,,,Unknown
725,08762dda-2848-4e91-b1c5-209cf14c5434,cdu,Unknown,cdu_13-09-2021_00:00_video3.jpeg,,,,,,Unknown
726,73ac151d-c9d2-4083-bdbb-a902244fb374,spdde,Unknown,spdde_19-09-2021_00:00_video1.jpeg,,,,,,Unknown
727,7cc7a068-f246-4ec7-8c8a-9f3cf86a3f8a,cdu,Unknown,cdu_13-09-2021_00:00_video12.jpeg,,,,,,Unknown
728,a1c4fa07-9a3d-4729-b054-d304c29f47b3,cdu,Unknown,cdu_13-09-2021_00:00_video12.jpeg,,,,,,Unknown
729,55375aec-0937-46e5-971e-8001a341a266,cdu,Unknown,cdu_13-09-2021_00:00_video12.jpeg,,,,,,Unknown
730,06ef4f88-58df-4a1d-9abe-5ed2132dbc60,cdu,Unknown,cdu_13-09-2021_00:00_video12.jpeg,,,,,,Unknown
731,0c7a62ac-a280-419b-9c61-477c8c959c82,cdu,Unknown,cdu_13-09-2021_00:00_video12.jpeg,,,,,,Unknown
732,6625b621-747c-4c65-978e-180764b9d3da,cdu,Unknown,cdu_13-09-2021_00:00_video12.jpeg,,,,,,Unknown
733,1f1b0f9a-e39c-4c2b-92c4-2b0b6e5cefc6,cdu,Unknown,cdu_13-09-2021_00:00_video18.jpeg,,,,,,Unknown
734,90a07637-40d0-4a75-afcf-05a9e5d76669,cdu,Unknown,cdu_13-09-2021_00:00_video18.jpeg,,,,,,Unknown
735,18fb38aa-2ff4-4367-8857-60222382e336,christianlindner,Christian Lindner,christianlindner_22-09-2021_00:00_image4.jpeg,,,,,,Unknown
737,89b66137-b042-416f-aa89-427f7a2caa11,olafscholz,Olaf Scholz,olafscholz_24-09-2021_00:00_image3.jpeg,,,,,,Unknown
738,ecde0e28-0709-487a-8f20-00b20708f92e,olafscholz,Unknown,olafscholz_24-09-2021_00:00_image3.jpeg,,,,,,Unknown
739,0f32c5f3-3857-442b-9f73-5961de06867a,olafscholz,Unknown,olafscholz_24-09-2021_00:00_image3.jpeg,,,,,,Unknown
744,9a8d8b1f-91f3-4358-a71e-60daef1315a5,cdu,Unknown,cdu_25-09-2021_00:00_video1.jpeg,,,,,,Unknown
745,efd0efcb-08fa-48ca-b5e6-7bfc943f9ec5,cdu,Unknown,cdu_25-09-2021_00:00_video1.jpeg,,,,,,Unknown
746,a782773e-c260-4041-9450-c174c3a79662,cdu,Unknown,cdu_25-09-2021_00:00_video1.jpeg,,,,,,Unknown
747,e69a8a95-9b0d-4c5f-9626-8baca376567f,cdu,Unknown,cdu_25-09-2021_00:00_video1.jpeg,,,,,,Unknown
748,a2e8447e-4e10-4748-8b36-75970111679f,cdu,Unknown,cdu_25-09-2021_00:00_video1.jpeg,,,,,,Unknown
753,e53ada40-b5d2-4a0d-85dd-c53659745419,die_gruenen,Unknown,die_gruenen_13-09-2021_00:00_video8.jpeg,,,,,,Unknown
754,02b3ce35-6c5f-42bb-b040-5ae5cbb112a5,die_gruenen,Unknown,die_gruenen_13-09-2021_00:00_video8.jpeg,,,,,,Unknown
755,e6862ad0-69f5-43bb-a03a-b1646df85dbb,die_gruenen,Unknown,die_gruenen_13-09-2021_00:00_video8.jpeg,,,,,,Unknown
756,07793c23-ce47-463c-9088-a10e0c61a600,markus.soeder,Markus Söder,markus.soeder_16-09-2021_00:00_video3.jpeg,af45e70d-e05b-4c1c-89ac-114a74810f45.png,0.2833350656316923,Facenet512,euclidean_l2,13.0,Markus Söder
757,5490a490-efd6-427f-ab0b-a8b34c0e9e0c,markus.soeder,Markus Söder,markus.soeder_16-09-2021_00:00_video3.jpeg,49bdb61e-e0b0-4666-9cf0-5c7ab16b2516.png,0.9900733633391576,Facenet512,euclidean_l2,2.0,Markus Söder
768,100f5896-6747-4f1f-a399-c41bc2a4cdc4,spdde,Unknown,spdde_26-09-2021_00:00_video14.jpeg,,,,,,Unknown
769,858534b2-a411-4a41-ac22-a2e6b5c7e59d,olafscholz,Unknown,olafscholz_13-09-2021_00:00_video0.jpeg,,,,,,Unknown
770,fc9ecc0f-ec50-47ec-aa08-61aca0a801ca,olafscholz,Unknown,olafscholz_13-09-2021_00:00_video0.jpeg,,,,,,Unknown
771,8d1f8771-beec-4f22-99d8-b013788a225b,olafscholz,Unknown,olafscholz_13-09-2021_00:00_video0.jpeg,,,,,,Unknown
772,9cc0b686-d573-4e3e-ae7a-0e5723e99338,olafscholz,Unknown,olafscholz_13-09-2021_00:00_video0.jpeg,,,,,,Unknown
773,b3550671-2ec0-4f64-b5a1-867350eb1590,olafscholz,Unknown,olafscholz_13-09-2021_00:00_video0.jpeg,,,,,,Unknown
785,8ce891df-5e17-42fb-bca5-e38d863ef3ec,abaerbock,Unknown,abaerbock_18-09-2021_00:00_video1.jpeg,,,,,,Unknown
786,71e6b289-cb26-4de9-8253-a52ffd89f911,abaerbock,Unknown,abaerbock_18-09-2021_00:00_video1.jpeg,,,,,,Unknown
787,8ab57cd8-75b4-4a18-95c1-b2bb98d4a490,abaerbock,Unknown,abaerbock_18-09-2021_00:00_video1.jpeg,,,,,,Unknown
788,9868e015-b6bd-4225-b04e-6dd205e9258e,abaerbock,Unknown,abaerbock_18-09-2021_00:00_video1.jpeg,,,,,,Unknown
806,be8afc47-8272-4782-8278-8b8ae7bdcc11,fdp,Unknown,fdp_20-09-2021_00:00_image4.jpeg,,,,,,Unknown
807,f06511bc-b612-42db-a7c7-a3136d5174be,fdp,Unknown,fdp_20-09-2021_00:00_image4.jpeg,,,,,,Unknown
808,d265cb44-deb0-417f-9027-26eaf249409b,olafscholz,Unknown,olafscholz_24-09-2021_00:00_video1.jpeg,,,,,,Unknown
809,146ea981-936d-4413-8090-2721482a205b,olafscholz,Olaf Scholz,olafscholz_24-09-2021_00:00_video1.jpeg,,,,,,Unknown
816,dd1ca611-a20b-4a31-a9ce-27e66b42fbc7,armin_laschet,Armin Laschet,armin_laschet_25-09-2021_00:00_video14.jpeg,laschet_armin.jpeg,0.4664719906115303,Facenet512,euclidean_l2,19.0,Armin Laschet
817,3990fe13-d8d3-490c-a7e2-052aa7925e5e,spdde,Unknown,spdde_18-09-2021_00:00_video1.jpeg,,,,,,Unknown
818,3965526f-0387-47e0-a20f-57dcbe711ff1,armin_laschet,Armin Laschet,armin_laschet_22-09-2021_00:00_video0.jpeg,laschet_armin.jpeg,0.5791026287827766,Facenet512,euclidean_l2,20.0,Armin Laschet
819,73c05ede-d4fc-4cce-8ea9-c91087018c67,armin_laschet,Armin Laschet,armin_laschet_20-09-2021_00:00_video2.jpeg,1e103923-022b-4d3f-a32e-e9c848a00e70.png,0.5982103824280561,Facenet512,euclidean_l2,20.0,Armin Laschet
820,0a196356-3fc5-42af-9d25-bddaf25fdf0b,armin_laschet,Armin Laschet,armin_laschet_17-09-2021_00:00_video16.jpeg,,,,,,Unknown
823,818c62a9-b087-4600-bbe8-575ac75d374f,olafscholz,Olaf Scholz,olafscholz_21-09-2021_00:00_image2.jpeg,c27ee252-e37c-4074-92b5-20e300431107.png,0.4088977163059423,Facenet512,euclidean_l2,20.0,Olaf Scholz
824,31e6a4c4-199b-4b6b-8eba-d4e0b41cf916,abaerbock,Unknown,abaerbock_22-09-2021_00:00_video2.jpeg,,,,,,Unknown
825,4609af43-dfe1-4d82-8084-96104252f748,abaerbock,Unknown,abaerbock_22-09-2021_00:00_video2.jpeg,,,,,,Unknown
829,28d52a8b-e8a4-44a7-ac68-79414c4f75cc,christlichsozialeunion,Unknown,christlichsozialeunion_23-09-2021_00:00_image1.jpeg,,,,,,Unknown
830,e5ecc8d1-c3a9-4cf3-90d5-c8c282838d68,christlichsozialeunion,Unknown,christlichsozialeunion_23-09-2021_00:00_image1.jpeg,,,,,,Unknown
831,60953101-b165-4db3-92c6-65e7080a06e4,armin_laschet,Armin Laschet,armin_laschet_21-09-2021_00:00_video2.jpeg,d0e6d963-6d02-463b-a226-ce3f34b0fcc5.png,0.8120856506362376,Facenet512,euclidean_l2,18.0,Armin Laschet
846,f8b09b58-62a0-43ff-8319-2c1bcaefe3cb,spdde,Unknown,spdde_23-09-2021_00:00_video3.jpeg,,,,,,Unknown
847,e70b507f-168d-40e8-b8aa-772318e550af,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
848,87e72801-7781-4d89-9ed8-4c2d2e434a2c,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
849,990588b5-83c6-4b0a-a710-7a8d9a6bff89,cdu,Armin Laschet,cdu_19-09-2021_00:00_image4.jpeg,5efa5b53-ada6-486e-8b66-4c6330a71ea7.png,0.3231481471561569,Facenet512,euclidean_l2,19.0,Armin Laschet
850,9a6857cc-3c62-4ef2-b9f7-77cf3910eced,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
851,5dc031c6-e3c0-4294-81b9-0f077bce6e32,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
852,d358661f-edae-4f42-acdc-86ba334a9657,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
853,92cca490-9ee2-4354-8a42-c37be5ee6d0a,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
854,1f33c277-c886-4540-b85b-e0333c7e1de8,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
855,7b9b92f6-36fd-40c6-a219-1e423dd08fdc,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
856,2257fb85-8fa1-4126-b446-8840d899898a,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
857,3bbc0db2-908b-4aaf-8ce4-a2795bc78846,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
858,5778f166-9093-4ba8-8dc2-03ff7af9d975,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
859,26ca84ff-7eae-43c4-84ba-56d575e1aa14,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
860,ff0010c6-6f48-41ba-bee5-d09a2e67f32e,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
861,e41c714d-2d59-440c-9020-c62012a53fe3,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
862,f747bcf0-1a8c-43eb-aa47-41335cb84278,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
863,2206d637-5649-46d7-91b4-e4d536afa1aa,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
864,c13041c3-e402-46df-a83a-e972406c1cd8,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
865,c239a9f3-1586-4a49-8050-be33904e6517,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
866,6d13f346-2b1c-4468-980a-3a3bddb42aec,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
867,d274b303-ad96-4f5f-9659-96d9ff108a5a,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
868,5ff29a46-bb11-4826-a868-c66cdce53851,cdu,Unknown,cdu_19-09-2021_00:00_image4.jpeg,,,,,,Unknown
870,df6f056e-da25-4f6a-a475-c8fdc6d00cf9,markus.soeder,Markus Söder,markus.soeder_17-09-2021_00:00_image1.jpeg,471d9645-9a33-471b-9e3e-5bfb82032fd8.png,0.3562165709596268,Facenet512,euclidean_l2,13.0,Markus Söder
871,214573d5-f29e-43f1-9dd4-883c34f6cfdd,markus.soeder,Markus Söder,markus.soeder_17-09-2021_00:00_image1.jpeg,aef8776f-6cb2-461e-aa5f-26798f3b263e.png,0.6826727037215029,Facenet512,euclidean_l2,13.0,Markus Söder
872,4068e41d-0d45-45d2-a53b-23b79a43b90b,armin_laschet,Unknown,armin_laschet_22-09-2021_00:00_video13.jpeg,,,,,,Unknown
873,9237dc0c-279e-4430-bde4-aa6258255518,spdde,Unknown,spdde_26-09-2021_00:00_video9.jpeg,,,,,,Unknown
874,426b3032-af2e-4d2b-8ed1-8cf28f77c4ed,spdde,Unknown,spdde_26-09-2021_00:00_video9.jpeg,,,,,,Unknown
875,5a6be964-2cf5-414b-ac3c-f48d4bf34a70,spdde,Unknown,spdde_26-09-2021_00:00_video9.jpeg,,,,,,Unknown
876,9338e75f-e19f-4775-a02e-4dd3fe43f0f0,spdde,Unknown,spdde_26-09-2021_00:00_video9.jpeg,,,,,,Unknown
877,45edb728-bd3f-466c-b351-d136a5659e4a,spdde,Unknown,spdde_26-09-2021_00:00_video9.jpeg,,,,,,Unknown
878,a0d182bd-6157-4bd1-8441-f93af438ff8d,spdde,Unknown,spdde_26-09-2021_00:00_video9.jpeg,,,,,,Unknown
879,6e00ae67-349e-4bb5-9c11-0469e3c6564b,spdde,Olaf Scholz,spdde_26-09-2021_00:00_video9.jpeg,e1ab3325-0777-4d5b-8146-cbfa9ed3ffc2.png,0.7540371637198165,Facenet512,euclidean_l2,20.0,Olaf Scholz
880,ccae926d-c683-4721-96e6-4d87ae9de47f,armin_laschet,Unknown,armin_laschet_22-09-2021_00:00_image5.jpeg,,,,,,Unknown
881,7090c36f-0ac7-45b2-a557-2a15b3484cc5,armin_laschet,Unknown,armin_laschet_22-09-2021_00:00_image5.jpeg,,,,,,Unknown
882,5b501731-77f9-41cc-ae85-eb69c58381c4,armin_laschet,Unknown,armin_laschet_22-09-2021_00:00_image5.jpeg,,,,,,Unknown
883,19cde991-2a93-4bc4-870d-9859b6258b00,armin_laschet,Unknown,armin_laschet_22-09-2021_00:00_image5.jpeg,,,,,,Unknown
884,3cb289a2-ab8a-47b8-9c79-d6c6904bc3eb,armin_laschet,Unknown,armin_laschet_22-09-2021_00:00_image5.jpeg,,,,,,Unknown
885,82e23012-cca1-4bb4-abfb-54688aa60f68,armin_laschet,Unknown,armin_laschet_22-09-2021_00:00_image5.jpeg,,,,,,Unknown
898,69a202f1-c58d-440c-a316-d75178c0bd67,abaerbock,Unknown,abaerbock_22-09-2021_00:00_image4.jpeg,,,,,,Unknown
899,d088d0d8-a49f-492c-aeb0-c4efd3e7a413,abaerbock,Unknown,abaerbock_22-09-2021_00:00_image4.jpeg,,,,,,Unknown
900,deee9212-6810-41ee-acc9-768e393eb8d8,abaerbock,Unknown,abaerbock_22-09-2021_00:00_image4.jpeg,,,,,,Unknown
901,6e53f8b3-15ad-4a4a-81ce-e521ad0bca24,abaerbock,Unknown,abaerbock_22-09-2021_00:00_image4.jpeg,,,,,,Unknown
902,dc3d0b15-fd94-4930-bbc6-1193cd63274f,abaerbock,Unknown,abaerbock_22-09-2021_00:00_image4.jpeg,,,,,,Unknown
903,abb6d3b0-84aa-4f37-aa41-5ef31c1de58c,abaerbock,Unknown,abaerbock_22-09-2021_00:00_image4.jpeg,,,,,,Unknown
911,aa83d4cd-c184-42a0-97cd-24101fd81beb,armin_laschet,Armin Laschet,armin_laschet_22-09-2021_00:00_video1.jpeg,f891fb5e-737c-4bf0-9c55-824f2cdff348.png,0.7753534301621933,Facenet512,euclidean_l2,15.0,Armin Laschet
912,107781f7-3720-45b3-b313-ec796a671d75,cdu,Unknown,cdu_17-09-2021_00:00_video2.jpeg,,,,,,Unknown
915,a9ec4fa6-1f76-49a4-b8f2-d239b7d5ea78,abaerbock,Unknown,abaerbock_18-09-2021_00:00_image3.jpeg,,,,,,Unknown
916,c350736d-3eb5-454f-8fac-2988f7bdcd1f,abaerbock,Unknown,abaerbock_18-09-2021_00:00_image3.jpeg,,,,,,Unknown
917,51afcb41-0974-44ae-b9a3-032ff4623fd9,abaerbock,Unknown,abaerbock_18-09-2021_00:00_image3.jpeg,,,,,,Unknown
918,08182cd9-8804-4d86-aa88-8c8c7a0d1d1d,cdu,Unknown,cdu_16-09-2021_00:00_video25.jpeg,,,,,,Unknown
919,bf9955c0-01bd-4315-a1b4-e19f1ef456cf,armin_laschet,Armin Laschet,armin_laschet_22-09-2021_00:00_image1.jpeg,d0e6d963-6d02-463b-a226-ce3f34b0fcc5.png,0.624173205343887,Facenet512,euclidean_l2,20.0,Armin Laschet
920,15211e5f-1c5f-4e3c-81d2-ddc4c1cf1316,armin_laschet,Unknown,armin_laschet_22-09-2021_00:00_image1.jpeg,,,,,,Unknown
921,334e6e08-d90e-4086-9fac-8439715b5ba4,armin_laschet,Armin Laschet,armin_laschet_14-09-2021_00:00_video1.jpeg,f891fb5e-737c-4bf0-9c55-824f2cdff348.png,0.847401728840292,Facenet512,euclidean_l2,17.0,Armin Laschet
922,71567bc1-fd16-4c69-93df-49bc646c19a2,abaerbock,Annalena Baerbock,abaerbock_18-09-2021_00:00_image15.jpeg,,,,,,Unknown
923,1117a7d7-1743-4799-8ae9-deaef6f06cbf,abaerbock,Unknown,abaerbock_18-09-2021_00:00_image15.jpeg,,,,,,Unknown
924,fb99ee08-2c7b-4a76-a546-5e5725d05f35,abaerbock,Unknown,abaerbock_18-09-2021_00:00_image15.jpeg,,,,,,Unknown
925,ba4ea4e6-fa02-4bb3-8a3a-68b1085a8130,abaerbock,Unknown,abaerbock_18-09-2021_00:00_image15.jpeg,,,,,,Unknown
926,07425ec6-07c7-4991-8430-e7e468b800c4,abaerbock,Unknown,abaerbock_18-09-2021_00:00_image15.jpeg,,,,,,Unknown
927,f37bd61d-ee8a-47c9-9f6b-23a0c13037ed,abaerbock,Unknown,abaerbock_18-09-2021_00:00_image15.jpeg,,,,,,Unknown
928,0f202de5-528c-451e-8aab-fa848674e185,abaerbock,Unknown,abaerbock_18-09-2021_00:00_image15.jpeg,,,,,,Unknown
929,3150e7fc-d076-459e-a436-bbc4226bc128,abaerbock,Unknown,abaerbock_18-09-2021_00:00_image15.jpeg,,,,,,Unknown
930,a8fcd3cb-c224-4ace-b8c6-4383afe2b186,abaerbock,Unknown,abaerbock_18-09-2021_00:00_image15.jpeg,,,,,,Unknown
932,aa13304b-35a9-4ca1-9f5d-9c053084df9a,markus.soeder,Markus Söder,markus.soeder_25-09-2021_00:00_video0.jpeg,2e3825be-7e0c-4e62-b2c7-b9aea0bcb158.png,0.50190154178206,Facenet512,euclidean_l2,13.0,Markus Söder
933,330c74f1-1347-4d2a-bbef-81288dff6574,armin_laschet,Armin Laschet,armin_laschet_17-09-2021_00:00_image0.jpeg,f891fb5e-737c-4bf0-9c55-824f2cdff348.png,0.9418637564884834,Facenet512,euclidean_l2,4.0,Armin Laschet
934,f5f12d45-123d-4bb1-a039-15af999aad3d,cdu,Unknown,cdu_18-09-2021_00:00_image2.jpeg,,,,,,Unknown
935,04f96e46-c048-4b90-a38d-07bf79fbd3d2,cdu,Unknown,cdu_18-09-2021_00:00_image2.jpeg,,,,,,Unknown
